id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_357,I Borghi dell'Eremo,2,Piegaro,Italy,🇮🇹,"Vocabolo Crocicchia, 06066 Piegaro PG",42.950009,12.083491,ChIJ14T3OCSzLhMRAvfBa0QlOUE,,,,https://www.google.com/maps/place/?q=place_id:ChIJ14T3OCSzLhMRAvfBa0QlOUE,,
,hotel_358,Vico Milano,1,Milan,Italy,🇮🇹,"Corso Genova 11, 20123 Milano MI",45.457503,9.176258,ChIJwY_HwOnDhkcR26UW3grY300,,,,https://www.google.com/maps/place/?q=place_id:ChIJwY_HwOnDhkcR26UW3grY300,,
,hotel_359,Locanda al Colle,1,Camaiore,Italy,🇮🇹,"Via La Stretta 231, 55041 Camaiore LU",43.932695,10.266213,ChIJr2fmdFp11RIRNSk8UuJkxqQ,,,,https://www.google.com/maps/place/?q=place_id:ChIJr2fmdFp11RIRNSk8UuJkxqQ,,
,hotel_360,Vocabolo Moscatelli Boutique Hotel & Restaurant,1,Umbertide,Italy,🇮🇹,"Via del Refari 2, Calzolaro, 06019 Umbertide PG",43.339598,12.216799,ChIJ2aLtUPwPLBMRPi5fz0jKcTw,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2aLtUPwPLBMRPi5fz0jKcTw,,
,hotel_361,Cascioni Eco Retreat,1,Costa Smeralda,Italy,🇮🇹,"SP 59 bis, 07021 Arzachena SS",41.074189,9.448487,ChIJvzT2rGpF2RIR9LxjwYO1SdU,,,,https://www.google.com/maps/place/?q=place_id:ChIJvzT2rGpF2RIR9LxjwYO1SdU,,
,hotel_362,Grand Hotel Victoria,2,Menaggio,Italy,🇮🇹,"Viale Benedetto Castelli 9/13, 22017 Menaggio CO",46.020898,9.241507,ChIJge3gJQw9hEcRUa6Y_KaCTBU,,,,https://www.google.com/maps/place/?q=place_id:ChIJge3gJQw9hEcRUa6Y_KaCTBU,,
,hotel_363,Monastero Santa Rosa,1,Conca dei Marini,Italy,🇮🇹,"Via Roma 2, 84010 Conca dei Marini SA",40.620727,14.577038,ChIJz5elMiWUOxMRyf9hNlDpnpc,,,,https://www.google.com/maps/place/?q=place_id:ChIJz5elMiWUOxMRyf9hNlDpnpc,,
,hotel_364,Mediterraneo Sorrento,1,Sorrento,Italy,🇮🇹,"Corso Marion Crawford 85, 80065 Sant'Agnello NA",40.634633,14.390603,ChIJy0PZgUiZOxMR8HIyfbU9uWo,,,,https://www.google.com/maps/place/?q=place_id:ChIJy0PZgUiZOxMR8HIyfbU9uWo,,
,hotel_365,Villa Fontelunga,1,Foiano della Chiana,Italy,🇮🇹,"Via Cunicchio 5, 52045 Pozzo della Chiana AR",43.290562,11.809072,ChIJLTKigS3kKxMRExF5Qr5P5Q0,,,,https://www.google.com/maps/place/?q=place_id:ChIJLTKigS3kKxMRExF5Qr5P5Q0,,
,hotel_366,Nordelaia,1,Cremolino,Italy,🇮🇹,"Via Piazze 14, 15010 Cremolino AL",44.644682,8.573707,ChIJjW0iXmQs0xIRfCCvrtE3TeE,,,,https://www.google.com/maps/place/?q=place_id:ChIJjW0iXmQs0xIRfCCvrtE3TeE,,
,hotel_367,Palazzo Daniele,1,Gagliano del Capo,Italy,🇮🇹,"Corso Umberto I 60, 73034 Gagliano del Capo LE",39.844185,18.37299,ChIJqYwMP6wLRBMRoznq2XM8iLA,,,,https://www.google.com/maps/place/?q=place_id:ChIJqYwMP6wLRBMRoznq2XM8iLA,,
,hotel_368,Six Senses Rome,1,Rome,Italy,🇮🇹,"Piazza San Marcello 4, 00187 Roma RM",41.898809,12.481614,ChIJncpa_HVhLxMRf449Spz5kcE,,,,https://www.google.com/maps/place/?q=place_id:ChIJncpa_HVhLxMRf449Spz5kcE,,
,hotel_369,Villa Cora,2,Florence,Italy,🇮🇹,"Viale Machiavelli 18, 50125 Firenze FI",43.757247,11.247523,ChIJuaMLi1lRKhMRqj9DilE3nyU,,,,https://www.google.com/maps/place/?q=place_id:ChIJuaMLi1lRKhMRqj9DilE3nyU,,
,hotel_370,J.K. Place Capri,3,Capri,Italy,🇮🇹,"Via Marina Grande 225, 80073 Capri NA",40.557435,14.235452,ChIJK_MtD353OxMR0D_TkhhWBRA,,,,https://www.google.com/maps/place/?q=place_id:ChIJK_MtD353OxMR0D_TkhhWBRA,,
